yr to habitable,yr to life,yr to complex,yr intelligence,yr culture,yr tech,tech lifespan,mass extinction,yr star life,life?
2207950019,967596379,980133537,252619983,24011548,209432,23,3702078233,0,0
1863707474,868500829,1225032667,182097797,20968415,231492,69,3169777281,0,0
2456843001,840671465,939647250,137417087,18064551,206407,388,3493211593,0,0
2422256325,994545766,1375002959,205927654,26664856,164478,234,4042783469,50908334711,0
1395375555,1082801971,618986024,287721317,27698786,185559,101,3535174078,0,0
1892473147,1302453795,773714533,189529098,18304308,235056,1517,3800752250,0,0
2314081578,832179892,1129706027,273221682,23994787,201021,2355,3441530147,0,0
1270930814,992903342,932730803,197103050,14616573,264949,1178,3792703019,127244594453,1
2569151616,869618636,760598102,262311456,21484638,217110,270,3961876676,0,0
1899770090,950157486,1084181649,271943977,14161958,165692,448,3423272939,0,0
1982971330,1156878269,1277690609,332975856,23456459,237850,10145,4279761582,103903174297,0
2229747743,1345975074,1129614290,195193929,24384499,173843,1032,3732260600,0,0
1694409063,941636769,908314956,183982847,18196207,158739,217,3624469795,0,0
1550776915,1288700056,1093344366,163644218,23092981,233142,237,2797401465,0,0
1434987123,1392729253,1324324842,169186153,19310430,167413,957,4051093198,99402231800,0
2264982831,992475936,1029846113,223867084,15715576,172988,981,3873188907,0,0
2105338068,1049738686,715568786,212687031,26768922,200494,1585,3650910429,0,0
1870167881,1078441428,1320858160,127693028,20494347,301630,1768,3566455185,0,0
1640496771,859561726,1036842933,143156421,19615022,172704,6654,2106802545,0,0
1614878923,1217947831,1287495794,162341310,21548353,103837,3935,3062830845,0,0
2198500835,1196865128,894294604,221458355,21161972,186027,0,2895228839,4804189773,0
1591383585,695665017,1099249241,197129484,19880056,226975,198,2619111519,0,0
1664231570,548312308,1028255091,171221899,20402818,199480,3470,4536948472,0,0
1921395962,1061967265,832638172,258157208,23428878,229560,15,4010230586,0,0
1763228345,1239906107,1016506342,161419694,15578977,197292,821,4694950697,0,0
1688281042,941560497,1025805621,149888783,24946364,137441,106,4047211331,100343662314,1
2973266696,1215364051,757843859,204969435,16611311,234853,5753,4168515783,0,0
3005580313,1116413945,592286776,116559505,14493612,205936,5478,3888385180,0,0
2051549755,734748715,1076728173,258868736,17814118,222559,5275,3595174522,0,0
1737287114,1496353654,890069144,245119862,12826315,168228,343,3481843216,0,0
2375425483,1110495595,1221604143,196664562,19101226,118733,1142,3690505176,0,0
1480884239,1170918987,880952334,123371272,17842593,232039,153,3755738452,89944692094,1
