year,num_stars,num_planets,num_habitable_planets,num_life,num_complex_life,num_intelligent_life,num_cultural_life,N,N_extinct
5293000000,90325757730.99432,36130303092.39768,29496283687.643555,24563612148.0134,13953327338.94155,6804873041.577686,423027514.8150292,61213965.23293351,113840974414.69617
5294000000,90328489350.0414,36131395740.01651,29499600697.345932,24567999008.233284,13956655181.53266,6806569682.910228,423133047.32906985,61229243.10987009,113902188379.92911
5295000000,90331219617.49788,36132487846.9991,29502916594.867268,24572384718.5345,13959982356.41301,6808265998.601076,423238559.59947056,61244518.0574598,113963417623.03897
5296000000,90333948534.07304,36133579413.629166,29506231380.493332,24576769278.976955,13963308863.448128,6809961988.56885,423344051.6211593,61259790.074967235,114024662141.09644
5297000000,90336676100.4757,36134670440.19023,29509545054.5099,24581152689.62076,13966634702.503807,6811657652.732307,423449523.3890728,61275059.161658235,114085921931.1714
5298000000,90339402317.41423,36135760926.965645,29512857617.20274,24585534950.526264,13969959873.446104,6813352991.010349,423554974.89815646,61290325.31679992,114147196990.33305
5299000000,90342127185.59657,36136850874.23859,29516169068.85762,24589916061.754025,13973284376.141335,6815048003.322014,423660406.1433646,61305588.53966069,114208487315.64986
5300000000,90344850705.73024,36137940282.29205,29519479409.76031,24594296023.364834,13976608210.456078,6816742689.58648,423765817.1196599,61320848.829510175,114269792904.18951
5301000000,90347572878.52226,36139029151.40887,29522788640.196575,24598674835.4197,13979931376.257175,6818437049.723068,423871207.8220142,61336106.18561925,114331113753.01903
5302000000,90350293704.67926,36140117481.871666,29526096760.452183,24603052497.979855,13983253873.411732,6820131083.651237,423976578.2454076,61351360.607260115,114392449859.20465
5303000000,90353013184.90741,36141205273.96292,29529403770.812893,24607429011.106747,13986575701.78711,6821824791.290585,424081928.3848291,61366612.0937062,114453801219.8119
5304000000,90355731319.91243,36142292527.96493,29532709671.56447,24611804374.862053,13989896861.250937,6823518172.56085,424187258.23527646,61381860.64423215,114515167831.90561
5305000000,90358448110.39961,36143379244.1598,29536014462.99267,24616178589.30767,13993217351.671099,6825211227.381912,424292567.79175603,61397106.2581139,114576549692.54984
5306000000,90361163557.0738,36144465422.829475,29539318145.38325,24620551654.505714,13996537172.915747,6826903955.673788,424397857.04928285,61412348.93462868,114637946798.80795
5307000000,90363877660.6394,36145551064.255714,29542620719.021973,24624923570.518524,13999856324.853287,6828596357.356635,424503126.00288075,61427588.67305493,114699359147.74258
5308000000,90366590421.80038,36146636168.72011,29545922184.194588,24629294337.408653,14003174807.352392,6830288432.350749,424608374.647582,61442825.47267239,114760786736.41563
5309000000,90369301841.26027,36147720736.50406,29549222541.18685,24633663955.23888,14006492620.281992,6831980180.576567,424713602.9784277,61458059.33276196,114822229561.8883
5310000000,90372011919.72214,36148804767.88881,29552521790.28451,24638032424.07221,14009809763.511278,6833671601.954661,424818810.99046767,61473290.25260591,114883687621.22107
5311000000,90374720657.88864,36149888263.15541,29555819931.773315,24642399743.971855,14013126236.9097,6835362696.405747,424923998.67876023,61488518.23148769,114945160911.47368
5312000000,90377428056.46199,36150971222.58475,29559116965.939007,24646765915.00125,14016442040.346972,6837053463.8506775,425029166.0383724,61503743.26869204,115006649429.70517
5313000000,90380134116.14395,36152053646.457535,29562412893.06733,24651130937.224064,14019757173.693062,6838743904.2104435,425134313.0643799,61518965.36350495,115068153172.97386
5314000000,90382838837.63585,36153135535.0543,29565707713.444023,24655494810.704163,14023071636.818203,6840434017.406176,425239439.75186694,61534184.5152136,115129672138.33737
5315000000,90385542221.6386,36154216888.655396,29569001427.354828,24659857535.505646,14026385429.592886,6842123803.359143,425344546.0959266,61549400.72310651,115191206322.85258
5316000000,90388244268.85263,36155297707.54101,29572294035.08548,24664219111.69283,14029698551.887861,6843813261.990753,425449632.0916603,61564613.9864734,115252755723.5757
5317000000,90390944979.97797,36156377991.99114,29575585536.921707,24668579539.330246,14033011003.574135,6845502393.222552,425554697.73417836,61579824.30460523,115314320337.56218
5318000000,90393644355.71419,36157457742.28563,29578875933.149242,24672938818.482647,14036322784.522976,6847191196.976225,425659743.01859957,61595031.676794246,115375900161.86679
5319000000,90396342396.76044,36158536958.70413,29582165224.05381,24677296949.215004,14039633894.605911,6848879673.173594,425764767.94005126,61610236.1023339,115437495193.54358
5320000000,90399039103.81543,36159615641.52613,29585453409.921135,24681653931.5925,14042944333.694727,6850567821.736622,425869772.49366945,61625437.580518894,115499105429.64592
5321000000,90401734477.57742,36160693791.03093,29588740491.036938,24686009765.680542,14046254101.661467,6852255642.587407,425974756.67459893,61640636.110645235,115560730867.22644
5322000000,90404428518.74426,36161771407.497665,29592026467.686935,24690364451.544754,14049563198.378431,6853943135.648188,426079720.4779928,61655831.692010105,115622371503.33708
5323000000,90407121228.01334,36162848491.20529,29595311340.15684,24694717989.250977,14052871623.718184,6855630300.841339,426184663.8990128,61671024.32391194,115684027335.0291
5324000000,90409812606.0816,36163925042.4326,29598595108.732365,24699070378.865265,14056179377.55354,6857317138.089375,426289586.9328295,61686214.0056505,115745698359.35301
5325000000,90412502653.6456,36165001061.4582,29601877773.699215,24703421620.453896,14059486459.757576,6859003647.314944,426394489.5746216,61701400.736526646,115807384573.35866
